"Image","Title","Buy Box: Current","Buy Box: Stock","New: Current","List Price: Current","Categories: Tree","ASIN","Product Codes: EAN","Brand"
"https://m.media-amazon.com/images/I/51RJTE1mxqL.jpg;https://m.media-amazon.com/images/I/41eWJcGuBnL.jpg;https://m.media-amazon.com/images/I/41MKamLrNOL.jpg;https://m.media-amazon.com/images/I/51ki+vXwRKL.jpg;https://m.media-amazon.com/images/I/51YDS+oEKLL.jpg;https://m.media-amazon.com/images/I/31X0RQ6kS9L.jpg;https://m.media-amazon.com/images/I/41ENLL-VNtL.jpg;https://m.media-amazon.com/images/I/51y5CAoX3LL.jpg;https://m.media-amazon.com/images/I/41Q38YTUY5L.jpg","Huawei MatePad 2K FullView-Display 10,4 Zoll 4 GB + 64 GB, Kirin 820 – Prozessor mit 7 Nm, Akku mit 7250 mAh, Audiosystem mit Vier Lautsprechern und Vier Kanälen, Huawei Share, Wi-Fi 6, Grau","225.11","6","225.11","","Computer & Zubehör › Tablet PCs","B09LHWZ513","3613560022107","HUAWEI"
"https://m.media-amazon.com/images/I/81fr3xOa4tL.jpg;https://m.media-amazon.com/images/I/81RJDsSmILL.jpg;https://m.media-amazon.com/images/I/71dcJI-gpsL.jpg;https://m.media-amazon.com/images/I/81p+Q8m7+9L.jpg;https://m.media-amazon.com/images/I/71uyvwbXDXL.jpg;https://m.media-amazon.com/images/I/71ta5RmKkpL.jpg;https://m.media-amazon.com/images/I/81k+wYek2kL.jpg;https://m.media-amazon.com/images/I/71GyxVrv3uL.jpg","Samsonite Sonora - Reisetasche mit Rollen XL, 82 cm, 112 L, Schwarz (Black)","191.87","17","191.87","239.00","Fashion › Gepäck & Reiseausrüstung › Reisegepäck › Reisetaschen","B0886NR36N","5400520015570","Samsonite"
"https://m.media-amazon.com/images/I/81o6ooZDfBL.jpg;https://m.media-amazon.com/images/I/71fSQ3duazL.jpg;https://m.media-amazon.com/images/I/710pQFbSGOL.jpg;https://m.media-amazon.com/images/I/81ImqPZpKmL.jpg;https://m.media-amazon.com/images/I/71x9hSh-5hL.jpg;https://m.media-amazon.com/images/I/81IBKaJAuGL.jpg;https://m.media-amazon.com/images/I/71v9eO9sScL.jpg;https://m.media-amazon.com/images/I/71cxVSII5hL.jpg","Samsonite Daydream Marvel - Spiderman Kinderkoffer 45 x 33 x 20 cm, 24 L - Hartschalen Handgepäck Trolley, passend für die meisten Airlines inkl. EasyJet - mit 4 Rollen - Spiderman Mystery","119.00","","119.00","119.00","Fashion › Gepäck & Reiseausrüstung › Reisegepäck › Kindergepäck","B0FG2WHQQW","5400520324481","Samsonite"
"https://m.media-amazon.com/images/I/51rambrvXBL.jpg;https://m.media-amazon.com/images/I/51YK9BvHLkL.jpg;https://m.media-amazon.com/images/I/51+b+x-AVIL.jpg;https://m.media-amazon.com/images/I/51zYcP0pWJL.jpg;https://m.media-amazon.com/images/I/31v2v1hnjRL.jpg","Huawei P30 Lite New Edition 256GB Handy, blau/violett, Peacock Blue, Android 9.0","269.99","3","269.99","349.00","Elektronik & Foto › Handys & Zubehör › Handys & Smartphones › Simlockfreie Handys","B0831S2R9W","6901443357062","HUAWEI"
"https://m.media-amazon.com/images/I/71yVLJIkNVL.jpg;https://m.media-amazon.com/images/I/61PtMjvLEZL.jpg;https://m.media-amazon.com/images/I/61N6Ij2La7L.jpg;https://m.media-amazon.com/images/I/71yVLJIkNVL.jpg","Thule onto 2 for Easyfold 3 Ladungsträger Für Anhängerkupplungen Black, 300","","","749.95","749.95","Auto & Motorrad › Transportsysteme › Dachgepäckträger & -boxen › Dachboxen","B0FBWV8ZHX","0197074566072","Thule"
"https://m.media-amazon.com/images/I/61+4Cdc2u9L.jpg","Samsonite Paradiver Light - Reisetasche/Rucksack S, Handgepäck, 55 cm, 40 L, Gelb","119.13","502","119.13","139.00","Fashion › Gepäck & Reiseausrüstung › Reisegepäck › Reisetaschen","B0DHXW7NGD","5400520305688","Samsonite"
"https://m.media-amazon.com/images/I/61zLSAeQ6DL.jpg;https://m.media-amazon.com/images/I/61fMLf5jeQL.jpg;https://m.media-amazon.com/images/I/717SqnBjTQL.jpg;https://m.media-amazon.com/images/I/618bgfmIzoL.jpg;https://m.media-amazon.com/images/I/61VIY7509IL.jpg;https://m.media-amazon.com/images/I/911IMGhSe2L.jpg","Thule Chasm Inlock Kühltasche Für Das Fahrrad 21l Dusted orange, 21","110.96","","110.96","129.95","Sport & Freizeit › Sport & Outdoor Aktivitäten › Camping & Outdoor › Campingküche › Kühltaschen & -boxen","B0GLP8BHSP","0085854260169","Thule"
"https://m.media-amazon.com/images/I/617409wJ9OL.jpg;https://m.media-amazon.com/images/I/615CXESLZlL.jpg;https://m.media-amazon.com/images/I/716FFIkoVeL.jpg;https://m.media-amazon.com/images/I/61CbMWLwG2L.jpg;https://m.media-amazon.com/images/I/61RF9Kkdi9L.jpg;https://m.media-amazon.com/images/I/911IMGhSe2L.jpg","Thule Chasm Inlock Kühltasche Für Das Fahrrad 21l Mid Blue, 21","125.93","","125.93","129.95","Sport & Freizeit › Sport & Outdoor Aktivitäten › Camping & Outdoor › Campingküche › Kühltaschen & -boxen","B0GLPGZZRD","0085854260152","Thule"
"https://m.media-amazon.com/images/I/71UBAvIBoQL.jpg;https://m.media-amazon.com/images/I/71UOxPp1HoL.jpg;https://m.media-amazon.com/images/I/71ZOnKTYrrL.jpg;https://m.media-amazon.com/images/I/61OMh9ailpL.jpg;https://m.media-amazon.com/images/I/91mvBja5iVL.jpg;https://m.media-amazon.com/images/I/71yAvUiQTTL.jpg;https://m.media-amazon.com/images/I/716p5vzJQTL.jpg;https://m.media-amazon.com/images/I/7107+htaQ6L.jpg;https://m.media-amazon.com/images/I/71EBLK4-05L.jpg","Thule, Schild Pannier 17L - Schwarz, M","","","149.97","121.00","Sport & Freizeit › Sport › Radsport › Fahrradzubehör › Rucksäcke, Taschen & Körbe › Gepäckträgertaschen","B0848ZVR46","0085854246903","Thule"
"https://m.media-amazon.com/images/I/5178dvE+RHL.jpg;https://m.media-amazon.com/images/I/51cyXmbkz0L.jpg;https://m.media-amazon.com/images/I/41jpnSjcgvL.jpg;https://m.media-amazon.com/images/I/519azBa36pL.jpg;https://m.media-amazon.com/images/I/41IAL+g1WUL.jpg;https://m.media-amazon.com/images/I/51l-LhGOMrL.jpg;https://m.media-amazon.com/images/I/518NQ-79-WL.jpg;https://m.media-amazon.com/images/I/51I8q+3HGbL.jpg;https://m.media-amazon.com/images/I/41cIFyzrI3L.jpg","Huawei Band 7 Schwarz, Leia-B19, Unisex","","","91.57","","Sport & Freizeit › Sportelektronik › Aktivitätstracker","B0B1F9V3PK","6941487257645","HUAWEI"
