"Image","Title","Sales Rank: Current","Reviews: Rating","Buy Box: Current","Buy Box: Stock","Amazon: Current","Amazon: Stock","New: Current","List Price: Current","Categories: Tree","Website Display Group: Name","ASIN","Product Codes: EAN","Brand","Author"
"https://m.media-amazon.com/images/I/71VTp9-SYQL.jpg;https://m.media-amazon.com/images/I/619TV7lltZL.jpg;https://m.media-amazon.com/images/I/71JR9QHINLL.jpg;https://m.media-amazon.com/images/I/610O23x1DFL.jpg;https://m.media-amazon.com/images/I/71l7jcYHswL.jpg;https://m.media-amazon.com/images/I/61utOL4OFtL.jpg;https://m.media-amazon.com/images/I/61rhbGDnqCL.jpg;https://m.media-amazon.com/images/I/61axSkyqaiL.jpg;https://m.media-amazon.com/images/I/41tQIZmxkzL.jpg","Razer Viper Mini - Ultraleichte Kabelgebundene Gaming-Maus (61g Ultraleichtes Beidhändiges Design, Speedflex-Kabel, Optischer Sensor mit 8500 DPI, Optischer Mausschalter, RGB-Chroma) Schwarz","67","4.5","86.99","50","","","86.99","49.99","Games › Plattformen › PC › Zubehör › Gaming-Mäuse","Computer & Zubehör","B084W6W9WB","8886419332886, 8886419332909","Razer",""
"https://m.media-amazon.com/images/I/817LKbNwFUL.jpg;https://m.media-amazon.com/images/I/71phwvroXpL.jpg;https://m.media-amazon.com/images/I/81z0jtThQaL.jpg;https://m.media-amazon.com/images/I/71XY0zVNjqL.jpg;https://m.media-amazon.com/images/I/81EIhUxPGbL.jpg;https://m.media-amazon.com/images/I/71aiGjT+NrL.jpg;https://m.media-amazon.com/images/I/81RCuikEFOL.jpg;https://m.media-amazon.com/images/I/71Q0nIb7siL.jpg;https://m.media-amazon.com/images/I/71z6B51oquL.jpg","Razer BlackWidow V4 Pro (Green Switch) - Mechanische Gaming-Tastatur (Klickende Mechanische Switches, Befehlsrad und 8 Makro-Tasten, Multifunktionsrolle, Handballenauflage) QWERTZ DE-Layout | Schwarz","69","3.9","179.26","4","179.26","4","179.26","269.99","Games › Plattformen › PC › Zubehör › Gaming-Tastaturen","Computer & Zubehör","B0BSXRK5HM","8887910072042","Razer",""
"https://m.media-amazon.com/images/I/715STBFK9cL.jpg;https://m.media-amazon.com/images/I/71iTerR-4HL.jpg;https://m.media-amazon.com/images/I/81LiMrau0pL.jpg;https://m.media-amazon.com/images/I/81r7KT052lL.jpg;https://m.media-amazon.com/images/I/91UHxPa8K0L.jpg;https://m.media-amazon.com/images/I/71CEIIHRVVL.jpg;https://m.media-amazon.com/images/I/91qqLCZgOsL.jpg;https://m.media-amazon.com/images/I/61YVqtF6vzL.jpg;https://m.media-amazon.com/images/I/715gw0wscnL.jpg","Razer BlackWidow V4 X (Yellow Switch) - Mechanische Gaming-Tastatur mit Razer Chroma RGB (Yellow Switches, 6 eigene Makro-Tasten, Doubleshot-ABS-Tastenkappen) QWERTY US-Layout | Schwarz","69","3.1","107.99","3","142.39","4","107.99","14.99","Games › Plattformen › PC › Zubehör › Gaming-Tastaturen","Computer & Zubehör","B0C6MFJ63D","8887910072868","Razer",""
"https://m.media-amazon.com/images/I/7171EvZhOVL.jpg;https://m.media-amazon.com/images/I/71iTerR-4HL.jpg;https://m.media-amazon.com/images/I/81LiMrau0pL.jpg;https://m.media-amazon.com/images/I/81r7KT052lL.jpg;https://m.media-amazon.com/images/I/91UHxPa8K0L.jpg;https://m.media-amazon.com/images/I/71CEIIHRVVL.jpg;https://m.media-amazon.com/images/I/91qqLCZgOsL.jpg;https://m.media-amazon.com/images/I/61YVqtF6vzL.jpg;https://m.media-amazon.com/images/I/715gw0wscnL.jpg","Razer BlackWidow V4 X - Mechanische Gaming-Tastatur mit Chroma RGB (Mechanische Razer Green Switches, 6 eigene Makro-Tasten, Doubleshot-ABS-Tastenkappen) QWERTY US-Layout | Schwarz","69","3.8","102.59","4","102.59","4","102.59","149.99","Games › Plattformen › PC › Zubehör › Gaming-Tastaturen","Computer & Zubehör","B0C6MJL7KQ","8887910072691","Razer",""
"https://m.media-amazon.com/images/I/81EEknaRvIL.jpg;https://m.media-amazon.com/images/I/71B+mHYTmmL.jpg;https://m.media-amazon.com/images/I/81Wqqax+ydL.jpg;https://m.media-amazon.com/images/I/81XJtT2iPWL.jpg;https://m.media-amazon.com/images/I/918OeG7INLL.jpg;https://m.media-amazon.com/images/I/71CEIIHRVVL.jpg;https://m.media-amazon.com/images/I/81g44cW43eL.jpg;https://m.media-amazon.com/images/I/718Oxo80ENL.jpg;https://m.media-amazon.com/images/I/71BbblCQBLL.jpg","Razer BlackWidow V4 (Yellow Switch) - Mechanische Gaming-Tastatur mit Razer Chroma RGB (Mechanische Yellow Switches, 6 eigene Makro-Tasten, Doubleshot-ABS-Tastenkappen) QWERTY US-Layout | Schwarz","69","4.2","147.79","4","147.79","4","147.79","189.99","Games › Plattformen › PC › Zubehör › Gaming-Tastaturen","Computer & Zubehör","B0C6DZ94Q6","8887910072523","Razer",""
"https://m.media-amazon.com/images/I/81gLk7Lz4bL.jpg;https://m.media-amazon.com/images/I/812IqnYJfeL.jpg;https://m.media-amazon.com/images/I/81iyFV8RNHL.jpg;https://m.media-amazon.com/images/I/71MgkVU2IgL.jpg;https://m.media-amazon.com/images/I/81OMNQYTNaL.jpg;https://m.media-amazon.com/images/I/71o8qRlsfUL.jpg;https://m.media-amazon.com/images/I/91kvuWEUtWL.jpg;https://m.media-amazon.com/images/I/71vmKQ4d+xL.jpg;https://m.media-amazon.com/images/I/71zwsrA4QLL.jpg","Razer BlackWidow V4 Pro 75% - Kabellose Hotswap-Gaming-Tastatur - OLED-Display (Command Dial, Konnektivität 4K Hz & Bluetooth, Snap Tap, magnetische Handballenauflage) QWERTY US-Layout | Schwarz","69","3.8","310.79","2","310.79","2","310.79","349.99","Games › Plattformen › PC › Zubehör › Gaming-Tastaturen","Computer & Zubehör","B0DBHM352L","8887910073803","Razer",""
"https://m.media-amazon.com/images/I/71R0qMymDCL.jpg;https://m.media-amazon.com/images/I/71kBOAR+qTL.jpg;https://m.media-amazon.com/images/I/91D5Kh6kQ9L.jpg;https://m.media-amazon.com/images/I/81uIwdR3fQL.jpg;https://m.media-amazon.com/images/I/81TFxRoN7bL.jpg;https://m.media-amazon.com/images/I/71rJBMa6sQL.jpg;https://m.media-amazon.com/images/I/818DU+MdQFL.jpg;https://m.media-amazon.com/images/I/81+1EwPBX7L.jpg;https://m.media-amazon.com/images/I/71zIA-GurXL.jpg","Razer BlackWidow V4 X - Fortnite Edition Mechanische Gaming-Tastatur mit RGB (Yellow Switches, 6 eigene Makro-Tasten, Doubleshot-ABS-Tastenkappen) QWERTY US-Layout | Fortnite","69","3.6","93.99","4","93.99","4","93.99","149.99","Games › Plattformen › PC › Zubehör › Gaming-Tastaturen","Computer & Zubehör","B0D31XQVRS","8887910073025","Razer",""
"https://m.media-amazon.com/images/I/71R0qMymDCL.jpg;https://m.media-amazon.com/images/I/71kBOAR+qTL.jpg;https://m.media-amazon.com/images/I/91D5Kh6kQ9L.jpg;https://m.media-amazon.com/images/I/81uIwdR3fQL.jpg;https://m.media-amazon.com/images/I/81TFxRoN7bL.jpg;https://m.media-amazon.com/images/I/71rJBMa6sQL.jpg;https://m.media-amazon.com/images/I/818DU+MdQFL.jpg;https://m.media-amazon.com/images/I/81+1EwPBX7L.jpg;https://m.media-amazon.com/images/I/71zIA-GurXL.jpg","Razer BlackWidow V4 X - Fortnite Edition Mechanische Gaming-Tastatur mit RGB (Yellow Switches, 6 eigene Makro-Tasten, Doubleshot-ABS-Tastenkappen) QWERTZ DE-Layout | Fortnite","69","4.7","93.85","6","","","93.85","149.99","Games › Plattformen › PC › Zubehör › Gaming-Tastaturen","Computer & Zubehör","B0D37WH5ZP","8887910073414","Razer",""
"https://m.media-amazon.com/images/I/815XJdl7fXL.jpg;https://m.media-amazon.com/images/I/81Kl0y0W0kL.jpg;https://m.media-amazon.com/images/I/91qe7bsBLGL.jpg;https://m.media-amazon.com/images/I/71pVNgfF6PL.jpg;https://m.media-amazon.com/images/I/91Ba0NmdGpL.jpg;https://m.media-amazon.com/images/I/81-jdpatw8L.jpg;https://m.media-amazon.com/images/I/911CVO9t0DL.jpg;https://m.media-amazon.com/images/I/61AMdf3zI8L.jpg;https://m.media-amazon.com/images/I/71AudAfuQpL.jpg","Razer BlackWidow V4 75% - Mechanische Gaming-Tastatur mit Hot Swap (Kompaktes 75% Layout, Unterbodenbeleuchtung an 2 Seiten, Multifunktionsregler und Medien-Tasten) ISO US-Layout | Schwarz","69","3.2","116.49","4","116.49","4","116.49","219.99","Games › Plattformen › PC › Zubehör › Gaming-Tastaturen","Computer & Zubehör","B0C6V2DZZC","8886419349563","Razer",""
"https://m.media-amazon.com/images/I/81EEknaRvIL.jpg;https://m.media-amazon.com/images/I/81EEknaRvIL.jpg;https://m.media-amazon.com/images/I/71B+mHYTmmL.jpg;https://m.media-amazon.com/images/I/81Wqqax+ydL.jpg;https://m.media-amazon.com/images/I/81XJtT2iPWL.jpg;https://m.media-amazon.com/images/I/918OeG7INLL.jpg;https://m.media-amazon.com/images/I/71CEIIHRVVL.jpg;https://m.media-amazon.com/images/I/81g44cW43eL.jpg","Razer BlackWidow V4 - Mechanische Gaming-Tastatur Chroma RGB (Mechanische Green Switches, 6 eigene Makro-Tasten, Doubleshot-ABS-Tastenkappen) QWERTY US-Layout | Schwarz","69","3.8","131.59","4","131.59","4","131.59","189.99","Games › Plattformen › PC › Zubehör › Gaming-Tastaturen","Computer & Zubehör","B0C6DWV86F","8887910072356","Razer",""
